source_cell,B,CD4 Memory T,CD8 Memory T,Early Lymphoid,HSC MPP,Monocyte,NK,Naive T,Pre-B,Pro-B
B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD4 Memory T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CD8 Memory T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Early Lymphoid,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HSC MPP,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Naive T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Plasma Cell,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Pre-B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Pro-B,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
